petrol_93_unleaded,petrol_95_unleaded,new_date
491.670,504.670,2017-07-31
510.670,523.670,2017-08-31
573.070,586.070,2017-09-30
598.070,615.070,2017-10-31
602.070,619.070,2017-11-30
669.170,686.170,2017-12-31
640.170,652.170,2018-01-31
610.170,622.170,2018-02-28
574.170,586.170,2018-03-31
581.070,596.070,2018-04-30
630.070,645.070,2018-05-31
712.070,727.070,2018-06-30
738.070,750.070,2018-07-31
739.070,751.070,2018-08-31
739.170,751.170,2018-09-30
838.170,851.170,2018-10-31
816.250,829.250,2018-11-30
624.550,637.550,2018-12-31
524.470,536.470,2019-01-31
531.470,543.470,2019-02-28
605.470,617.470,2019-03-31
714.170,723.170,2019-04-30
768.170,777.170,2019-05-31
755.010,764.010,2019-06-30
667.790,677.790,2019-07-31
683.170,693.170,2019-08-31
694.170,704.170,2019-09-30
690.170,722.170,2019-10-31
677.170,709.170,2019-11-30
687.570,719.570,2019-12-31
677.970,699.970,2020-01-31
664.970,686.970,2020-02-29
645.970,667.970,2020-03-31
438.670,448.670,2020-04-30
264.770,274.770,2020-05-31
382.770,392.770,2020-06-30
545.770,564.774,2020-07-31
550.770,569.770,2020-08-31
546.470,565.470,2020-09-30
523.470,533.470,2020-10-31
496.470,506.470,2020-11-30
469.170,479.170,2020-12-31
512.170,519.170,2021-01-31
593.170,600.170,2021-02-28
658.170,665.170,2021-03-31
724.17,736.17,2021-04-30
